Valuta,Codice ISO,Codice UIC,Quotazione,Convenzione di cambio,Data di riferimento (CET)
Euro,EUR,242,0.8734,Quantita' di valuta estera per 1 Dollaro,2018-12-31
Euro,EUR,242,0.8774,Quantita' di valuta estera per 1 Dollaro,2019-01-02
Euro,EUR,242,0.8812,Quantita' di valuta estera per 1 Dollaro,2019-01-03
Euro,EUR,242,0.8770,Quantita' di valuta estera per 1 Dollaro,2019-01-04
Euro,EUR,242,0.8737,Quantita' di valuta estera per 1 Dollaro,2019-01-07
Euro,EUR,242,0.8741,Quantita' di valuta estera per 1 Dollaro,2019-01-08
Euro,EUR,242,0.8730,Quantita' di valuta estera per 1 Dollaro,2019-01-09
Euro,EUR,242,0.8669,Quantita' di valuta estera per 1 Dollaro,2019-01-10
Euro,EUR,242,0.8671,Quantita' di valuta estera per 1 Dollaro,2019-01-11
Euro,EUR,242,0.8721,Quantita' di valuta estera per 1 Dollaro,2019-01-14
Euro,EUR,242,0.8754,Quantita' di valuta estera per 1 Dollaro,2019-01-15
Euro,EUR,242,0.8780,Quantita' di valuta estera per 1 Dollaro,2019-01-16
Euro,EUR,242,0.8775,Quantita' di valuta estera per 1 Dollaro,2019-01-17
Euro,EUR,242,0.8770,Quantita' di valuta estera per 1 Dollaro,2019-01-18
Euro,EUR,242,0.8801,Quantita' di valuta estera per 1 Dollaro,2019-01-21
Euro,EUR,242,0.8807,Quantita' di valuta estera per 1 Dollaro,2019-01-22
Euro,EUR,242,0.8797,Quantita' di valuta estera per 1 Dollaro,2019-01-23
Euro,EUR,242,0.8818,Quantita' di valuta estera per 1 Dollaro,2019-01-24
Euro,EUR,242,0.8814,Quantita' di valuta estera per 1 Dollaro,2019-01-25
Euro,EUR,242,0.8758,Quantita' di valuta estera per 1 Dollaro,2019-01-28
Euro,EUR,242,0.8755,Quantita' di valuta estera per 1 Dollaro,2019-01-29
Euro,EUR,242,0.8750,Quantita' di valuta estera per 1 Dollaro,2019-01-30
Euro,EUR,242,0.8705,Quantita' di valuta estera per 1 Dollaro,2019-01-31
Euro,EUR,242,0.8718,Quantita' di valuta estera per 1 Dollaro,2019-02-01
Euro,EUR,242,0.8737,Quantita' di valuta estera per 1 Dollaro,2019-02-04
Euro,EUR,242,0.8754,Quantita' di valuta estera per 1 Dollaro,2019-02-05
Euro,EUR,242,0.8777,Quantita' di valuta estera per 1 Dollaro,2019-02-06
Euro,EUR,242,0.8814,Quantita' di valuta estera per 1 Dollaro,2019-02-07
Euro,EUR,242,0.8814,Quantita' di valuta estera per 1 Dollaro,2019-02-08
Euro,EUR,242,0.8843,Quantita' di valuta estera per 1 Dollaro,2019-02-11
Euro,EUR,242,0.8853,Quantita' di valuta estera per 1 Dollaro,2019-02-12
Euro,EUR,242,0.8846,Quantita' di valuta estera per 1 Dollaro,2019-02-13
Euro,EUR,242,0.8875,Quantita' di valuta estera per 1 Dollaro,2019-02-14
Euro,EUR,242,0.8881,Quantita' di valuta estera per 1 Dollaro,2019-02-15
Euro,EUR,242,0.8828,Quantita' di valuta estera per 1 Dollaro,2019-02-18
Euro,EUR,242,0.8854,Quantita' di valuta estera per 1 Dollaro,2019-02-19
Euro,EUR,242,0.8817,Quantita' di valuta estera per 1 Dollaro,2019-02-20
Euro,EUR,242,0.8807,Quantita' di valuta estera per 1 Dollaro,2019-02-21
